🖥️ Host selecionado: BRNOSADM01FW250 (ID: 10512)
📋 Total de itens encontrados: 3320

--- ITENS RELACIONADOS A WAN/INTERFACE ---
ID: 1409506 | Nome: Interface LG(b): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[50] | Valor: 0 bps
ID: 1409507 | Nome: Interface PWC(b): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[51] | Valor: 0 bps
ID: 1409508 | Nome: Interface ClienteCenco2(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[52] | Valor: 0 bps
ID: 1559702 | Nome: Interface WLSPARK(b): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[53] | Valor: 0 bps
ID: 1564537 | Nome: Interface CSWLAN15(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[54] | Valor: 0 bps
ID: 1564552 | Nome: Interface cswlan15(b): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[55] | Valor: 0 bps
ID: 1570310 | Nome: Interface cenconetCD(b): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[56] | Valor: 0 bps
ID: 1409461 | Nome: Interface ha1(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[5] | Valor: 0 bps
ID: 1409462 | Nome: Interface ha2(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[6] | Valor: 0 bps
ID: 1409463 | Nome: Interface x1(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[7] | Valor: 0 bps
ID: 1409464 | Nome: Interface x2(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[8] | Valor: 0 bps
ID: 1409465 | Nome: Interface modem(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[9] | Valor: 0 bps
ID: 1409518 | Nome: Interface ssl.root(SSL VPN interface): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[10] | Valor: 0 bps
ID: 1409519 | Nome: Interface lan(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[11] | Valor: 0 bps
ID: 1409520 | Nome: Interface fortilink(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[12] | Valor: 0 bps
ID: 1409521 | Nome: Interface port11(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[13] | Valor: 0 bps
ID: 1409522 | Nome: Interface port4(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[14] | Valor: 0 bps
ID: 1409523 | Nome: Interface port2(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[15] | Valor: 0 bps
ID: 1409524 | Nome: Interface VLAN_MGMT_AP(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[16] | Valor: 0 bps
ID: 1409525 | Nome: Interface VLAN_WLAN11(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[17] | Valor: 0 bps
ID: 1409526 | Nome: Interface cswlan11(b): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[18] | Valor: 0 bps
ID: 1409527 | Nome: Interface CENCONET(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[19] | Valor: 0 bps
ID: 1409509 | Nome: Interface dmz(): Estimated upstream bandwidth | Key: fgIntfEntEstUpBandwidth.[1] | Valor: 0 bps
